ACCYMD,PLACE,CARTYPE
114年01月01日 08時20分00秒,桃園市八德區福德一路附近 / 桃園市八德區和成路附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 08時20分00秒,臺中市梧棲區台灣大道十段03號電桿處,民營客運-大客車;自用-小客車(含客、貨兩用)
114年01月01日 08時20分00秒,臺中市梧棲區台灣大道十段03號電桿處,民營客運-大客車;自用-小客車(含客、貨兩用)
114年01月01日 08時21分00秒,新竹縣竹北市勝利八街一段附近 / 新竹縣竹北市莊敬三路附近,普通重型-機車;普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 08時21分00秒,新竹縣竹北市勝利八街一段附近 / 新竹縣竹北市莊敬三路附近,普通重型-機車;普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 08時21分00秒,新竹縣竹北市勝利八街一段附近 / 新竹縣竹北市莊敬三路附近,普通重型-機車;普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 08時34分00秒,桃園市大園區中華路259號前0.0公尺,普通重型-機車;租賃車-小客車(含客、貨兩用)
114年01月01日 08時34分00秒,桃園市大園區中華路259號前0.0公尺,普通重型-機車;租賃車-小客車(含客、貨兩用)
114年01月01日 08時39分50秒,雲林縣東勢鄉東勢東路137號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 08時39分50秒,雲林縣東勢鄉東勢東路137號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 08時45分00秒,屏東縣屏東市頂宅里和生路一段附近 / 屏東縣屏東市頂宅里頂宅街附近,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 08時45分00秒,屏東縣屏東市頂宅里和生路一段附近 / 屏東縣屏東市頂宅里頂宅街附近,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 08時51分00秒,臺南市新市區大營里大營2-6號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 08時51分00秒,臺南市新市區大營里大營2-6號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 08時52分00秒,屏東縣恆春鎮南門路14巷1號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 08時52分00秒,屏東縣恆春鎮南門路14巷1號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 08時58分33秒,花蓮縣新城鄉北埔路368號前,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 08時58分33秒,花蓮縣新城鄉北埔路368號前,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時06分00秒,桃園市八德區廣福路口 / 桃園市八德區福國街口,自用-小貨車
114年01月01日 09時06分00秒,桃園市八德區廣福路口 / 桃園市八德區福國街口,自用-小貨車
114年01月01日 09時06分00秒,新竹市北區成德一街,自用-小客車(含客、貨兩用)
114年01月01日 09時06分00秒,新竹市北區成德一街,自用-小客車(含客、貨兩用)
114年01月01日 09時11分00秒,彰化縣永靖鄉五汴村中山路3段448號前0.0公尺北側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時11分00秒,彰化縣永靖鄉五汴村中山路3段448號前0.0公尺北側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時20分00秒,桃園市中壢區明德路東側 / 桃園市中壢區中明路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時20分00秒,桃園市中壢區明德路東側 / 桃園市中壢區中明路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時24分00秒,新竹縣新埔鎮文山里文山路亞東段段1020號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時24分00秒,新竹縣新埔鎮文山里文山路亞東段段1020號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時27分18秒,臺南市安平區慶平路口 / 臺南市安平區永華六街口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時27分18秒,臺南市安平區慶平路口 / 臺南市安平區永華六街口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 09時30分00秒,桃園市蘆竹區國道2號 7公里800.0公尺處東側向內側,營業用-半聯結車;自用-小客車(含客、貨兩用)
114年01月01日 09時30分00秒,桃園市蘆竹區國道2號 7公里800.0公尺處東側向內側,營業用-半聯結車;自用-小客車(含客、貨兩用)
